"Story","Title","Result","Date","Stability","Duration (s)"
"Unit Management","Deactivate and Activate unit from unit list screen","ERROR","2020-04-28T10:42:57.27649+05:30[Asia/Calcutta]","0.0","32.23"
"Unit Management","Filter the unit list upon selecting status","ERROR","2020-04-28T10:43:54.7327935+05:30[Asia/Calcutta]","0.0","60.17"
